project_code,txn_count,total,with_receipts,reconciled,at_risk
ACT-HQ,48,72606.72,2,6,72537.3
ACT-IN,510,46652.48,45,310,43220.26
ACT-UA,9,1514.22,8,4,28.49
ACT-HV,1,591,0,1,591
ACT-FM,1,319.09,0,0,319.09
ACT-GD,2,305.95,2,0,
DISPUTED,2,89.37,0,0,89.37
ACT-PI,1,8,1,0,
