paid_date,contact_name,invoice_number,reference,total,total_tax,project_code,income_type,status
2025-12-11,Dusseldorp Forum,INV-0298,,16500,1500,ACT-JH,grant,PAID
2025-12-11,Regional Arts Australia,INV-0299,Invoice 1/3,16500,1500,ACT-HV,arts,PAID
2025-11-26,Centrecorp Foundation,INV-0291,,85712,7792,ACT-GD,grant,PAID
2025-11-03,Palm Island Community Company Limited (PICC),INV-0286,,165000,15000,ACT-PI,commercial,PAID
2025-10-21,Julalikari Council Aboriginal Corporation,INV-0282,52 109 391 552,19800,1800,ACT-GD,commercial,PAID
2025-10-21,Mala’la Health Service Aboriginal Corporation,INV-0283,,5434,494,ACT-GD,commercial,PAID
