priority,quarter,date,amount,vendor,description,receipt_state,candidate_count,confidence,best_source,project_code,project_source,rd_eligible,xero_next_step,xero_search,bank_line_id
1,Q3,2026-03-18,1995.00,MALENY LANDSCAPING SUPPLIES,MALENY LANDSCAPING MALENY · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-FM,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",MALENY LANDSCAPING SUPPLIES 1995.00 2026-03-18,cb18af14-e810-457f-a5d5-269fb0370bba
1,Q2,2025-10-14,1820.69,Hatch Electrical,HATCH ELECTRICAL ZILLMERE · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-PI,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Hatch Electrical 1820.69 2025-10-14,c6362717-ac2f-42b4-b878-1b77a4a9b62e
1,Q3,2026-01-13,1811.70,Carbatec Brisbane,CARBA TEC PTY LTD TINGALPA · NAB Visa ACT #8815,local_receipt_ready,1,100,dext_receipt,ACT-HV,vendor_rule,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Carbatec Brisbane 1811.70 2026-01-13,2c2fabb6-8e2b-44f9-b717-3f6c6e051e7a
1,Q3,2026-01-21,1738.03,Sunshine Coast Council,Sunshine Coast Regiona Sunshine Coast · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-FM,vendor_rule,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Sunshine Coast Council 1738.03 2026-01-21,ce3f8a5f-ec99-48a3-be36-1e876906ee9f
1,Q2,2025-12-11,1614.88,BUNNINGS WAREHOUSE,BUNNINGS 634000 MINCHINBURY · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-MY,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",BUNNINGS WAREHOUSE 1614.88 2025-12-11,cfbed161-f789-4188-b769-de43fd9a5f71
1,Q3,2026-02-19,1443.03,Hatch Electrical,HATCH ELECTRICAL ZILLMERE · NAB Visa ACT #8815,local_receipt_ready,3,91,xero_bill,ACT-PI,vendor_override,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Hatch Electrical 1443.03 2026-02-19,2b1f6c9b-2436-4ca6-b0d9-60f660de5362
1,Q3,2026-03-19,1305.00,Maleny Landscaping Supplies,MALENY LANDSCAPING MALENY · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-FM,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Maleny Landscaping Supplies 1305.00 2026-03-19,27439b68-d63d-4934-8856-ac0611bc37f5
1,Q2,2025-12-08,1268.37,apple,APPLE R466 BRISBANE BRISBANE · NAB Visa ACT #8815,local_receipt_ready,1,94,gmail_raw,ACT-IN,auto,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",apple 1268.37 2025-12-08,34a87d6a-8f06-4f52-85f4-88312a812d54
1,Q2,2025-10-21,1243.59,Loadshift Sydney,LOADSHIFT SYDNEY · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-MY,vendor_override,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Loadshift Sydney 1243.59 2025-10-21,46563b61-a813-48d7-8fb5-11f1bdf6d473
1,Q2,2025-12-11,1182.18,Bunnings Warehouse,BUNNINGS 634000 MINCHINBURY · NAB Visa ACT #8815,local_receipt_ready,5,92,receipt_email,ACT-MY,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Bunnings Warehouse 1182.18 2025-12-11,3cfb4d57-7b94-4266-a042-f9b8e2d3206b
1,Q3,2026-02-05,1126.60,THRIFTY AS CITY ALICE SPRINGS,THRIFTY AS CITY ALICE SPRINGS · NAB Visa ACT #8815,local_receipt_ready,0,,,ACT-GD,location,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",THRIFTY AS CITY ALICE SPRINGS 1126.60 2026-02-05,38c35c8c-6dad-4ec5-ad2c-efed4fb89283
1,Q2,2025-12-11,1068.00,The Sand Yard,THE SAND YARD PTY LTD LONDONDERRY · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-MY,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",The Sand Yard 1068.00 2025-12-11,8fe10671-832a-4afc-b32e-00b9b426d589
1,Q2,2025-12-12,1029.00,The Sand Yard,THE SAND YARD PTY LTD LONDONDERRY · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-MY,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",The Sand Yard 1029.00 2025-12-12,c4b70db6-6c0a-4cf7-a152-ef64253ce50e
1,Q3,2026-03-23,931.41,ePrint,EDITANDPRIN 0414586892 · NAB Visa ACT #8815,local_receipt_ready,1,100,dext_receipt,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",ePrint 931.41 2026-03-23,34684915-e2db-415a-8467-52b5f9a46cdd
1,Q3,2026-03-09,895.00,MALENY LANDSCAPING SUPPLIES,MALENY LANDSCAPING MALENY · NAB Visa ACT #8815,local_receipt_ready,3,95,xero_bill,ACT-FM,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",MALENY LANDSCAPING SUPPLIES 895.00 2026-03-09,fd227b3f-03bb-4db6-8f43-b374f2b5e086
1,Q3,2026-01-13,883.07,Hydraulink Brisbane North,HYDRAULINK BRISBANE EAGLE FARM · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-FM,subscription,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Hydraulink Brisbane North 883.07 2026-01-13,72d17283-901a-4fa9-96c9-a6f60d33b487
1,Q3,2026-01-14,784.43,Hatch Electrical,HATCH ELECTRICAL ZILLMERE · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-PI,vendor_override,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Hatch Electrical 784.43 2026-01-14,3f8aadd0-f3e5-4350-900f-c6e3dd836047
1,Q3,2026-03-04,771.00,Wholesale Canvas Australia,Kadmium Art Supplies 02 9212 2669 · NAB Visa ACT #8815,local_receipt_ready,6,100,dext_receipt,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Wholesale Canvas Australia 771.00 2026-03-04,eada2865-eaf4-44d1-9dfb-38401c11aeeb
1,Q3,2026-02-02,736.64,Thrifty,THRIFTY AS CITY ALICE SPRINGS · NAB Visa ACT #8815,local_receipt_ready,5,66,dext_receipt,ACT-GD,location,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Thrifty 736.64 2026-02-02,d5f3dd9e-58f0-44be-ba51-b2fb5b4efa97
1,Q2,2025-12-08,717.50,Cactus Jacks Bar and Grill,CACTUS JACKS RESTAUR TOWNSVILLE · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-HV,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Cactus Jacks Bar and Grill 717.50 2025-12-08,c303e6a5-bc15-4485-bc5f-f7bf295e7589
