project_code,txn_count,total,with_receipts,reconciled,at_risk
ACT-IN,237,35398.39,62,215,25375.52
ACT-FM,1,8361.21,1,0,
ACT-GD,16,6769.34,15,7,161.9
ACT-HV,5,4444.53,4,3,88.95
ACT-EL,3,585,3,2,
ACT-DO,6,457.88,5,2,17.4
ACT-HQ,78,432.93,0,78,432.93
ACT-10,1,220,1,1,
ACT-JP,2,200.19,2,2,
ACT-GP,1,180,1,0,
ACT-UA,1,121.92,1,1,
ACT-JH,4,96.25,4,4,
ACT-RA,1,95.66,1,1,
UNTAGGED,16,43.56,0,16,43.56
ACT-SM,1,5,0,1,5
