project_code,date,contact_name,total,has_attachments,rd_category,bank_account
ACT-IN,2026-03-10,Fisher's Oysters,1120,true,core,NAB Visa ACT #8815
ACT-IN,2026-03-09,Anthropic,15.77,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-09,Uber,9.99,true,core,NAB Visa ACT #8815
ACT-IN,2026-03-09,Paddle.com Market,69.36,true,core,NAB Visa ACT #8815
ACT-IN,2026-03-06,Claude.AI,286.45,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-06,Apple Pty Ltd,14.99,true,core,NAB Visa ACT #8815
ACT-IN,2026-03-06,Uber,13.06,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-06,HighLevel,35.81,true,core,NAB Visa ACT #8815
ACT-IN,2026-03-06,LinkedIn Singapore,74.99,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-06,OpenAI,30,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-04,Uber,31.01,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-04,Qantas,329.22,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-04,Qantas,1366.51,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-04,Uber,56.87,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-04,Uber,43.28,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-04,Qantas,432.52,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,2178.08,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,415.9,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,1112.89,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Uber,24.61,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,2001.71,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,236.16,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,676.38,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,179.88,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,2001.71,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Uber,25.32,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,2001.71,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Uber,24.35,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,854.82,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,2001.71,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Uber,29.23,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,452.38,false,core,NAB Visa ACT #8815
