status,reason,bank_date,payee,bank_amount,document_vendor,document_date,amount_total,source,confidence,target_xero_transaction_id,target_contact_name,target_date,target_total,filename,link_id,receipt_document_id,bank_line_id
skipped,target has 1 attachment(s) in Xero,2025-10-03,Uber,36.28,Uber,2025-10-02,36.28,receipt_email,1,6b885421-0f61-4863-ba3f-71af782b6e7b,Uber,2025-10-03,36.28,Early business trip-6b885421.eml,356ef67f-1c55-44a9-8f25-ab8f2fbf1f2a,b7d9f9e5-7217-4fa1-8767-98b53c3d31d2,70796f67-858c-4db1-9a96-1baccb83111c
skipped,target has 1 attachment(s) in Xero,2025-10-03,Uber,14.32,Uber,2025-09-30,14.32,receipt_email,1,4450b7d8-bfd9-4aef-ae2c-7b0eb33f2803,Uber,2025-10-03,14.32,A Curious Tractor  Your Tuesday morning trip with-4450b7d8.eml,5594f019-aea8-4745-973d-00de7c1d5c08,e7a2b136-abdf-47d3-b5ad-3dd111bfee8c,a212c9b4-70e6-4cca-9bad-a8bd3da2e60b
skipped,target has 1 attachment(s) in Xero,2025-10-07,Uber,35.99,Uber,2025-10-07,35.99,receipt_email,1,d69127e3-b5ca-47ea-beee-2fee2de8c6e0,Uber,2025-10-07,35.99,Ready Reserve-d69127e3.eml,522632b9-9745-4394-9300-5aa6b0c93182,2444fb00-056d-4ccf-8d83-6489d12595ca,c09834b7-dd61-4e74-baaa-d05a4e64293f
skipped,target has 1 attachment(s) in Xero,2025-10-07,Uber,25,Uber,2025-10-09,25,receipt_email,1,27968c7e-0042-4cfd-8d18-bb3414d4dc04,Uber,2025-10-07,25,Benjamin enjoy easy traveling-27968c7e.eml,980af6d1-e4ec-42a6-aaf7-e1a83e876d5c,b5b1d108-54cc-46eb-b4a4-8be4d53e5de1,c61be0cf-40f0-48b6-bca7-005c987c2bdb
skipped,target has 1 attachment(s) in Xero,2025-10-08,Amazon,28.49,Amazon,2025-10-07,28.49,receipt_email,1,36679e53-6677-47d3-8ce5-f3546bdeb46c,Amazon,2025-10-08,28.49,PSA Your Amazon Haul just went half price-36679e53.eml,546a6d14-e196-40f8-a694-555160aa82bf,505d248a-ffe9-466e-a5b3-9a22221c2633,7710f1a6-f97a-4d76-a409-6f676dc57c1e
skipped,target has 1 attachment(s) in Xero,2025-10-13,Uber,30.73,Uber,2025-10-12,30.97,dext_receipt,1,9505d906-0a6a-4fd9-8648-f10b78577039,Uber,2025-10-13,30.73,Uber-receipt.pdf,73d8e47f-4087-40fb-8334-fe8e0ca71014,bfe89c8f-e0dd-4877-bb20-b561b28e0a2c,a051fa68-c8e1-468b-b6d6-2e48970a5db7
skipped,target has 1 attachment(s) in Xero,2025-10-13,Uber,25.71,Uber,2025-10-19,26.17,dext_receipt,1,6710d592-2658-4bad-8712-0e13aa3a59df,Uber,2025-10-22,20.35,Uber-receipt.pdf,879ef063-8b77-4577-bbcc-6e909d7608a2,d47b3db7-21ec-415d-aa57-f93d798bab62,93f3551a-bb33-43dd-8bb1-ac8cb64c0458
skipped,target has 1 attachment(s) in Xero,2025-10-13,Uber,9.94,Uber,2025-10-14,9.94,receipt_email,1,70f58cb4-10d3-4817-98d7-cb1af7c30cbe,Uber,2025-10-13,9.94,Benjamin welcome to Townsville-70f58cb4.eml,db91dee9-6aa5-42c7-94db-272f4fabae7e,960de8a0-4de1-4a35-9df5-5eeb83e08a9c,e8df9f02-d14d-40be-bdab-f28d1cc77288
skipped,target has 1 attachment(s) in Xero,2025-10-14,Uber,37.43,Uber,2025-10-12,37.43,dext_receipt,1,af71a44f-dd98-4cae-b098-a0d2bd13ffac,Uber,2025-10-14,37.43,Uber-receipt.pdf,f2063439-d5a5-4965-9f9f-ebd716cda152,34d3bdb3-b6b5-45c4-8367-db854eb9f4f9,59bc360f-8831-46c6-bc8a-a5a438392dcb
skipped,target has 1 attachment(s) in Xero,2025-10-15,Qantas,289.27,Qantas,2025-10-12,289.27,receipt_email,1,174745c0-3a30-4ad2-9cf5-5f5918206e94,Qantas,2025-10-15,289.27,Download 391751918-e-ticket-FSBUPA.pdf,35440a6d-10ab-49b9-8b8e-e580e350e7b4,afc7db53-f99b-42c0-b0d4-98e7118fdbef,e783c9ed-4094-4660-8e9f-3d3d3f6026bb
skipped,target has 1 attachment(s) in Xero,2025-10-15,Qantas,113.02,Qantas,2025-10-11,113.02,receipt_email,1,4d70d2ab-1b76-4f24-bc68-97f9c869bf30,Qantas,2025-10-15,113.02,Download 391435916-e-ticket-FSBUPA.pdf,1906b00a-00bf-42ee-ab3c-e81edb830c85,3e4f112c-5dd1-4539-8f62-8d81b2ff2e9d,5c8126a1-68f6-4dab-8739-05396574ded0
skipped,target has 1 attachment(s) in Xero,2025-10-15,Qantas,110,Qantas,2025-10-13,110,receipt_email,1,74ecdacd-7807-4415-bf75-c087b95146db,Qantas,2025-10-15,110,Prepare for your flight QF1990 to Townsville on 14-74ecdacd.eml,955d0e42-4d9a-40d8-9f2b-ea2b9875b4fc,e944a8af-bd88-4ec0-b905-856c428bc1d9,6508a453-80fd-4d6a-bad1-3824c73dfc48
skipped,target has 1 attachment(s) in Xero,2025-10-15,Qantas,34.21,Qantas,2025-10-11,34.21,receipt_email,1,58525164-4bfc-4ac5-97f5-33a68dd26bf3,Qantas,2025-10-15,34.21,Qantas Seat Selection Receipt for your flight to B-58525164.eml,83b35151-6543-4e9f-9e75-dcbef0ed2a50,3fcfc998-0f7e-4684-bc1c-ba0255bd121c,ca2523a7-7dc0-4768-993b-2841d4e274dc
skipped,target has 1 attachment(s) in Xero,2025-10-15,Uber,30.97,Uber,2025-10-20,30.97,receipt_email,1,ebfc82b2-4a9e-4e08-b9af-e86a857df05c,Uber,2025-10-15,30.97,A Curious Tractor  Your Monday afternoon trip with-ebfc82b2.eml,49ec54a0-ce75-4c75-81f6-f62aa997e82f,b161415a-c72f-442d-84c1-947139c24c1f,1b9d65ea-0157-48a5-9684-9995b179371f
skipped,target has 1 attachment(s) in Xero,2025-10-15,Uber,17.36,Uber,2025-10-20,17.36,receipt_email,1,34352485-834d-473a-97bf-be0a9c8c807f,Uber,2025-10-15,17.36,A Curious Tractor  Your Monday evening trip with U-34352485.eml,82d45a7c-65df-4f93-8578-54af1abca6e9,d1e18aed-273d-42fe-be63-e485c8cf9248,27480575-2eee-40c3-a847-9e0686165961
skipped,target has 1 attachment(s) in Xero,2025-10-16,Uber,48.99,Uber,2025-10-20,48.99,receipt_email,1,b4430784-4438-445c-b05e-7e2d61c482ef,Uber,2025-10-16,48.99,A Curious Tractor  Your Monday morning trip with U-b4430784.eml,577b28f2-ecdf-473f-857c-055135618dd6,19495f8d-65ef-435e-a5df-ac0116677391,acc95792-a09b-45bf-954e-7c4a5ac70db7
skipped,target has 1 attachment(s) in Xero,2025-10-16,Uber,37.92,Uber,2025-10-13,37.92,dext_receipt,1,66b3344f-7606-4c4d-b1ab-d8fa34dcc11a,Uber,2025-10-16,18.47,Uber-receipt.pdf,21a4ae79-c6a1-49c4-8250-8fbd2d4f167e,a0c8ca85-574a-4d4e-85a3-ff00811915c2,65f2e746-d2c4-4356-88cf-24f135268361
skipped,target has 1 attachment(s) in Xero,2025-10-16,Uber,32.95,Uber,2025-10-20,32.95,receipt_email,1,7f72485a-61fa-4857-b92e-74105988898e,Uber,2025-10-16,32.95,A Curious Tractor  Your Monday afternoon trip with-7f72485a.eml,0c3d29fd-a3dd-41ba-b9ba-016d23a3bb6d,05684a2f-3e0c-4c2a-b9c3-d13628765084,4c0d7ade-dcfd-4e29-82a6-e199d5cd75a6
skipped,target has 1 attachment(s) in Xero,2025-10-16,Uber,18.47,Uber,2025-10-14,18.47,dext_receipt,1,a6d66bc7-f6fd-4528-90fd-7bd3cb852b4d,Uber,2025-10-16,37.92,Uber-receipt.pdf,4f7cc838-e078-4bb6-b937-6a2e18955fd3,b76cc42d-f27f-4966-8adb-e8b6374ffd87,3d39c428-9d15-40d6-87a5-3641f874c5ab
skipped,target has 1 attachment(s) in Xero,2025-10-20,Updoc,39.95,Updoc,2025-10-18,39.95,dext_receipt,1,efc07299-2b26-483f-84b7-9501ac78d3ed,Updoc,2025-10-19,39.95,Updoc-receipt.pdf,b7d2d8bf-a7ff-45b0-ab66-dc3d6916a6dd,2d119d73-290d-4012-8a6e-ca51204e9e74,cc66a37d-1c26-43f7-9a37-a52fa54bbacc
skipped,target has 1 attachment(s) in Xero,2025-10-20,Uber,31.56,Uber,2025-10-21,31.56,receipt_email,1,a2a30936-f99a-43ea-ae39-823c185b1440,Uber,2025-10-20,31.56,A Curious Tractor  Your Wednesday morning trip wit-a2a30936.eml,b3eec04e-6ff3-47cf-b893-7a12ba1e3cba,4112236b-d12a-4075-9d04-37dcceb3465b,c7574557-c579-4bce-8020-e2eaff4facbf
