name,abn,tier,supply_nation,entity_type,sector,state,remoteness,seifa_decile,latest_revenue,donates_to_party,party_donations
"First Grade Group","19154150508","acnc_indigenous","true","company","","QLD","Major Cities of Australia","8","67646924","false",""
"Central Land Council","71979619393","self_identified","false","charity","Health","NT","Remote Australia","5","64011000","false",""
"Gumatj Corporation Limited","99123471787","acnc_indigenous","true","charity","Indigenous","NT","Outer Regional Australia","","63137430","false",""
"Pattemore Consultants Pty Ltd","86611502713","acnc_indigenous","true","social_enterprise","Demolition services","NT","Very Remote Australia","1","62545625","false",""
"Aboriginal Hostels Limited","47008504587","self_identified","false","charity","","ACT","Major Cities of Australia","9","58086000","false",""
"New South Wales Aboriginal Land Council","82726507500","self_identified","false","foundation","indigenous","NSW","Major Cities of Australia","5","55809000","false",""
"Thamarrurr Development Corporation Ltd","54124789493","acnc_indigenous","true","charity","Community","NT","Very Remote Australia","","51117973","false",""
"ONPOINT 365 Pty Ltd","58611021884","acnc_indigenous","true","company","","ACT","Major Cities of Australia","10","50772126","false",""
"GLAD INDIGENOUS PTY LTD (13 648 519 957)","13648519957","self_identified","false","company","defence","NSW","Major Cities of Australia","8","50000000","false",""
"INDIGENOUS COMMERCIAL CORPORATION PTY LTD","14626056513","self_identified","true","social_enterprise","defence","ACT","","","50000000","false",""
"AMNESIUM PTY LTD","63608314978","acnc_indigenous","true","company","Technology","ACT","Major Cities of Australia","8","50000000","false",""
"Council of First Nations Ltd","70636542204","self_identified","false","charity","Social Welfare","NSW","Major Cities of Australia","8","49897198","false",""
"Aboriginal And Torres Strait Islander Community Health Service Brisbane Limited","22009943435","self_identified","false","charity","Health","QLD","Major Cities of Australia","7","48492557","false",""
"Kimberley Aboriginal Medical Services Limited","67169851861","self_identified","false","foundation","indigenous","WA","Very Remote Australia","3","47461040","false",""
"CALLEO INDIGENOUS PTY LTD","74635396584","self_identified","false","company","","ACT","Major Cities of Australia","10","47449691","false",""
"WAMARRA PTY LTD","12637087980","acnc_indigenous","true","social_enterprise","Civil construction","ACT","Major Cities of Australia","9","46425254","false",""
"THE TRUSTEE FOR GROOTE EYLANDT ABORIGINAL TRUST","30205934991","self_identified","false","foundation","arts","NT","Very Remote Australia","1","45509518","false",""
"Servegate Australia Pty Ltd","56609386156","acnc_indigenous","true","charity","Social Welfare","ACT","Major Cities of Australia","1","44222633","false",""
"DIRECT ERGONOMICS PTY. LIMITED","76003840220","acnc_indigenous","true","company","","NSW","Major Cities of Australia","9","42739305","false",""
"Aboriginal Family Support Services Limited","82853278164","self_identified","false","charity","Social Welfare","SA","Major Cities of Australia","4","41273812","false",""
"Mount Isa Aboriginal Community Controlled Health Services Limited","96130300355","self_identified","false","charity","Health","QLD","Remote Australia","3","40895670","false",""
"Arrpwere Consulting Pty Ltd","84610023633","acnc_indigenous","true","social_enterprise","Management consulting & consultants","ACT","Major Cities of Australia","10","38321089","false",""
"Parakeelya Pty Ltd","88611581303","acnc_indigenous","true","social_enterprise","Architecture","ACT","Major Cities of Australia","10","37894906","false",""
"Aboriginal Legal Service (NSW/Act) Limited","93118431066","self_identified","false","charity","Legal Services","NSW","Major Cities of Australia","4","37289603","false",""
