name,abn,tier,supply_nation,entity_type,sector,state,remoteness,seifa_decile,latest_revenue,donates_to_party,party_donations
"FENCEWRIGHT QLD PTY LTD","77621212137","","false","company","","QLD","Major Cities of Australia","7","26441","false",""
"Antakirinja Matu - Yankunytjatjara Aboriginal Corporation RNTBC","88482182145","oric","false","indigenous_corp","Education","SA","Very Remote Australia","1","26422","false",""
"Murrindindi Ranges Wildlife Shelter Inc","23983476365","self_identified","false","charity","Animal Welfare","VIC","Inner Regional Australia","7","26182","false",""
"Thunderstone Cultural & Land Management Services Aboriginal Corporation","33861394646","oric","false","indigenous_corp","culture","ACT","Major Cities of Australia","8","26000","false",""
"ABORIGINAL ENTERPRISES AUSTRALIA (NT) PTY LTD","86009635901","self_identified","true","social_enterprise","Air conditioning maintenance & services","NT","Remote Australia","3","25548","false",""
"CLEMMENTS ELECTRICAL PTY LTD","23166395393","acnc_indigenous","true","social_enterprise","Construction","QLD","Very Remote Australia","1","25033","false",""
"Ingeous studios","62826905830","acnc_indigenous","true","social_enterprise","Advertising agency services","ACT","Outer Regional Australia","3","25000","false",""
"Tagalaka Aboriginal Corporation RNTBC","14448723256","oric","false","indigenous_corp","Arts & Culture","QLD","Outer Regional Australia","1","24996","false",""
"NINETY47 GROUP PTY. LTD.","25601081805","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","9","24976","false",""
"Greenaway Architects","87669955789","acnc_indigenous","true","social_enterprise","Architecture","ACT","Major Cities of Australia","10","24200","false",""
"YONGA SOLUTIONS PTY LTD","16651892741","acnc_indigenous","true","social_enterprise","Cultural awareness training","ACT","Major Cities of Australia","8","24090","false",""
"Buda Dji Aboriginal Development Association Aboriginal Corporation","26254713433","oric","false","indigenous_corp","Education","QLD","Outer Regional Australia","4","24000","false",""
"Ngallagunda Aboriginal Corporation","37932597002","oric","false","indigenous_corp","culture","WA","Very Remote Australia","1","23675","false",""
"PINYAMA NURSERY","68625686407","acnc_indigenous","true","social_enterprise","","NT","Very Remote Australia","1","23500","false",""
"Aboriginal Evangelical Church Melbourne","22969981129","self_identified","false","charity","Religion","VIC","Major Cities of Australia","6","23109","false",""
"Elephant in the Room Consulting Pty Ltd","79620818135","acnc_indigenous","true","social_enterprise","Management consulting & consultants","ACT","Major Cities of Australia","9","22631","false",""
"S.L THOMAS & V.M THOMAS","13557975544","acnc_indigenous","true","social_enterprise","Building construction materials & services","WA","Major Cities of Australia","4","22594","false",""
"Torres Strait Historical Society & Museum Association Inc","65936053359","self_identified","false","charity","Arts & Culture","","Very Remote Australia","1","21968","false",""
"Cummeragunja Health and Development Aboriginal Corporation","17122066339","oric","false","indigenous_corp","Health","NSW","Inner Regional Australia","7","21740","false",""
"The Trustee for the Robert Henderson Art Trust","86997751160","acnc_indigenous","true","social_enterprise","Art gallery","ACT","Major Cities of Australia","6","21740","false",""
"The Centre For Aboriginal Independence And Enterprise Limited","80118552588","self_identified","false","charity","Education","QLD","Inner Regional Australia","9","21600","false",""
"Ngangganawili Aboriginal Community Controlled Health and Medical Services Aboriginal Corporation","85650098620","oric","false","indigenous_corp","Health","WA","Very Remote Australia","1","21479","false",""
"KSR (WA) PTY LTD","56626232013","acnc_indigenous","true","social_enterprise","","NT","Remote Australia","3","21368","false",""
"DEADLY ENTERPRISES PTY LTD","80640445692","acnc_indigenous","true","social_enterprise","Health screening services & programs","ACT","Outer Regional Australia","8","21000","false",""
"FLW CONNECT PTY LTD","23664086944","acnc_indigenous","true","social_enterprise","Business & strategic planning services","ACT","Major Cities of Australia","6","20757","false",""
"Deewin Kirim Aboriginal Corporation","52545384604","oric","false","indigenous_corp","Health","NT","Very Remote Australia","1","20460","false",""
"Kincoppal-Rose Bay School Of The Sacred Heart Indigenous Fund","72842527880","self_identified","false","charity","Education","NSW","Major Cities of Australia","10","20400","false",""
"Gaimaragal Group Pty Ltd","80601938729","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","10","20190","false",""
"Mitakoodi Traditional Owners Aboriginal Corporation","48440269244","oric","false","indigenous_corp","land-management","QLD","Remote Australia","3","20117","false",""
"Life For Koori Kids Incorporated","67036131515","self_identified","false","charity","","NSW","Major Cities of Australia","9","20111","false",""
"Brumby Hill Aboriginal Corporation","12701232938","oric","true","indigenous_corp","Education","TAS","Remote Australia","2","20000","false",""
"South East Tasmanian Aboriginal Corporation","92219498784","oric","false","indigenous_corp","Health","TAS","Outer Regional Australia","2","20000","false",""
"Mount Zion Aussie Indigenous Baptist Church Inc.","23138349311","self_identified","false","charity","Religion","WA","Major Cities of Australia","6","19980","false",""
"Sunbury Aboriginal Corporation","70304264165","oric","false","indigenous_corp","Community","VIC","Inner Regional Australia","7","19800","false",""
"SOUTHERN CULTURAL IMMERSION PTY LTD","97660050555","acnc_indigenous","true","social_enterprise","Arts & Culture","SA","Major Cities of Australia","6","19712","false",""
"NEWCASTLE LOCKSMITHS AND SECURITY PTY LTD","79649484953","acnc_indigenous","true","social_enterprise","Locksmith supplies & services","NSW","Major Cities of Australia","5","19512","false",""
"Nathan Dukes","51093523540","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","9","19399","false",""
"Boorrumpah Goupong Aboriginal Corporation","19892619009","oric","false","indigenous_corp","Health","QLD","Major Cities of Australia","2","19266","false",""
"Rapi (Aboriginal Corporation) RNTBC","63242485126","oric","false","indigenous_corp","Arts & Culture","WA","Major Cities of Australia","8","19000","false",""
"ALLIANCE ICT PTY LTD","55629649501","acnc_indigenous","true","social_enterprise","Management consulting & consultants","ACT","Major Cities of Australia","10","18480","false",""
"Warrnambool & Dist Aboriginal Cjp_Coop","33788635301","self_identified","false","charity","Social Welfare","VIC","Inner Regional Australia","5","18400","false",""
"ALL-ROUND COATING","72726923465","acnc_indigenous","true","social_enterprise","Painting supplies & services","ACT","Major Cities of Australia","9","17992","false",""
"Waru Projects Pty Ltd","56134033999","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","10","17864","false",""
"WORLD INDIGENOUS TOURISM ALLIANCE LTD","34647966827","self_identified","false","charity","Indigenous","WA","Major Cities of Australia","10","17824","false",""
"ILLUMINATE-FNQ LTD","53648563866","acnc_indigenous","true","charity","Education","QLD","Outer Regional Australia","3","17775","false",""
"Dambimangari Aboriginal Corporation","48508877524","oric","false","indigenous_corp","Health","WA","Very Remote Australia","1","17760","false",""
"Passi Indigenous Consultancy","54370684207","self_identified","false","social_enterprise","Cultural awareness training","ACT","Outer Regional Australia","7","17600","false",""
"C DAVID & D.P EVANS","57809225467","acnc_indigenous","true","company","","ACT","Outer Regional Australia","8","17600","false",""
"Cre8ive Solutions","57206455813","acnc_indigenous","true","social_enterprise","","ACT","Inner Regional Australia","2","17500","false",""
"The Trustee for Torres Strait Glass & Glazing Family Trust","21248679164","self_identified","true","social_enterprise","Building construction materials & services","QLD","Very Remote Australia","1","16830","false",""
"Ngadju Native Title Aboriginal Corporation RNTBC","40829460147","oric","false","indigenous_corp","Environment","WA","Major Cities of Australia","8","16559","false",""
"Karadi Aboriginal Corporation","40776871469","oric","false","indigenous_corp","Health","TAS","Inner Regional Australia","1","16500","false",""
"Gurindji Aboriginal Corporation RNTBC","52014732063","oric","false","indigenous_corp","Arts & Culture","NT","Very Remote Australia","1","16500","false",""
"Outback Roads Aboriginal Corporation","58699341498","oric","false","indigenous_corp","Social Welfare","WA","Very Remote Australia","1","16500","false",""
"GOMEROI SOLUTIONS PTY LTD","82667372116","acnc_indigenous","true","social_enterprise","Commercial cleaning","ACT","Major Cities of Australia","3","16500","false",""
"CATonline Australia","98626620693","acnc_indigenous","true","social_enterprise","Adult & community education programs","ACT","Major Cities of Australia","8","16390","false",""
"Lirrwi Yolngu Tourism Aboriginal Corporation","42051176909","oric","false","indigenous_corp","Arts & Culture","NT","Very Remote Australia","2","16200","false",""
"ABORIGINAL ART ASSOCIATION OF AUSTRALIA","40960942792","self_identified","false","charity","Arts & Culture","NSW","Major Cities of Australia","7","16041","false",""
"TOP END CONTROLS AND AUTOMATION PTY LTD","87632445348","acnc_indigenous","true","social_enterprise","Air-conditioning systems","NT","Outer Regional Australia","4","15910","false",""
"Indigital Pty Ltd","18162666935","acnc_indigenous","true","social_enterprise","Social research services","ACT","Major Cities of Australia","10","15492","false",""
"Mission Field Outreach Indigenous Corporation","53089423598","oric","false","indigenous_corp","Health","NT","Very Remote Australia","1","15167","false",""
"The Trustee for The Gulkula Mining Trust","80242930729","acnc_indigenous","true","social_enterprise","Bush regeneration","ACT","Outer Regional Australia","9","15048","false",""
"Narungga Nation Aboriginal Corporation RNTBC","18573135424","oric","false","indigenous_corp","Health","SA","Major Cities of Australia","4","15025","false",""
"Ngaigu-Mulu Aboriginal Corporation","25356073545","oric","false","indigenous_corp","culture","NT","Remote Australia","3","15000","false",""
"Dja Dja Wurrung Clans Aboriginal Corporation","52459162679","oric","false","indigenous_corp","Education","VIC","Inner Regional Australia","3","15000","false",""
"Strongland Corporation PTY LTD","55107478982","acnc_indigenous","true","social_enterprise","","WA","Remote Australia","3","15000","false",""
"Munupi Arts and Crafts Association-Aboriginal Corporation","57164278459","oric","false","indigenous_corp","culture","NT","Very Remote Australia","1","15000","false",""
"DALMARRI PTY LTD","62626539553","acnc_indigenous","true","social_enterprise","Art gallery","ACT","Major Cities of Australia","5","14850","false",""
"Aboriginal Movement for Outback Survival Aboriginal Corporation","52660842765","oric","true","indigenous_corp","Health","WA","Very Remote Australia","1","14795","false",""
"Lombadina Aboriginal Corporation","29867690311","oric","false","indigenous_corp","Community","WA","Very Remote Australia","3","14171","false",""
"Strong Smart Solutions PTY LTD","32132687640","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","1","14053","false",""
"Cedrent Vehicle Hire Pty Ltd","55616307585","acnc_indigenous","true","social_enterprise","","SA","Major Cities of Australia","5","14017","false",""
"Koling wada-ngal Aboriginal Corporation","43696392518","oric","false","indigenous_corp","Community","VIC","Inner Regional Australia","5","14000","false",""
"THE MARY G FOUNDATION","67391997482","acnc_indigenous","true","foundation","arts","WA","Major Cities of Australia","8","13793","false",""
"Lhere Artepe Aboriginal Corporation RNTBC","91884217942","oric","false","indigenous_corp","housing","NT","Remote Australia","5","13790","false",""
"Murrumba Aboriginal Housing Company Limited","89010179834","self_identified","false","charity","Housing","QLD","Inner Regional Australia","3","13749","false",""
"Designer Aboriginals Pty Ltd","94003413036","self_identified","true","social_enterprise","Professional artists","ACT","Major Cities of Australia","9","13200","false",""
"Gumala Aboriginal Corporation","93807596843","oric","false","indigenous_corp","Health","WA","Very Remote Australia","7","13000","false",""
"Tjukurla Community Aboriginal Corporation","38068165286","oric","false","indigenous_corp","Health","NT","Very Remote Australia","1","12939","false",""
"Patjarr Aboriginal Corporation","61471395432","oric","false","indigenous_corp","Health","WA","Very Remote Australia","1","12939","false",""
"INDIGICO CREATIVE PTY LTD","94661129979","acnc_indigenous","true","social_enterprise","","ACT","Outer Regional Australia","3","12584","false",""
"Dianne Borella Consultancy Pty Ltd","35609862731","acnc_indigenous","true","social_enterprise","","NT","Outer Regional Australia","7","12500","false",""
"CONNECT SERVICES NT PTY LTD","74684335537","acnc_indigenous","true","social_enterprise","Building repair services","NT","Outer Regional Australia","9","12430","false",""
"Murrindindi East U3A Inc","28249854176","self_identified","false","charity","Education","VIC","Outer Regional Australia","5","12286","false",""
"Yindi Artz","69671069572","acnc_indigenous","true","social_enterprise","Professional artists","ACT","Major Cities of Australia","7","12100","false",""
"Jiylinum Aboriginal Corporation","77863292857","oric","false","indigenous_corp","Arts & Culture","NT","Very Remote Australia","1","12040","false",""
"Parna Ngururrpa (Aboriginal Corporation) RNTBC","64901786602","oric","false","indigenous_corp","Social Welfare","WA","Major Cities of Australia","8","12000","false",""
"The Trustee For F G Chirnside Aboriginal Endowment Fund","16952098230","self_identified","false","foundation","education","NSW","Major Cities of Australia","9","11932","false",""
"Kaurareg Aboriginal Land Trust","79329401794","self_identified","false","foundation","arts","","Very Remote Australia","1","11782","false",""
"Moogie Down Productions Pty Ltd","67630200289","acnc_indigenous","true","social_enterprise","","ACT","Outer Regional Australia","7","11616","false",""
"Juluwarlu Group Aboriginal Corporation","52300944909","oric","false","indigenous_corp","Education","WA","Very Remote Australia","1","11550","false",""
"Triple BL Pty Ltd","42103069192","acnc_indigenous","true","social_enterprise","Remote & regional development programs","ACT","Inner Regional Australia","9","11500","false",""
"Erub Erwer Meta Torres Strait Islander  Corporation","79680257690","oric","false","indigenous_corp","culture","QLD","Very Remote Australia","1","11500","false",""
"Hose Right","48762043618","acnc_indigenous","true","social_enterprise","Hydraulic services","WA","Major Cities of Australia","8","11481","false",""
"Purnululu Aboriginal Corporation","41132106629","oric","false","indigenous_corp","Education","WA","Very Remote Australia","2","11355","false",""
"Aboriginal Male's Healing Centre Strong Spirit Strong Families Strong Culture Inc.","53264232140","self_identified","false","charity","Human Rights","WA","Very Remote Australia","5","11273","false",""
"ASSAN CO PTY LTD","30675172193","acnc_indigenous","true","social_enterprise","Crane hire","NT","Remote Australia","3","11171","false",""
"Aboriginal Benefits Foundation Trust","37153926921","self_identified","false","foundation","community","NSW","Major Cities of Australia","4","11075","false",""
"The Cultural Intelligence Project Pty Ltd","18600194456","acnc_indigenous","true","social_enterprise","Employment & workplace programs","ACT","Remote Australia","3","11000","false",""
"Bunuba Operations Aboriginal Corporation","31225169461","oric","false","indigenous_corp","housing","WA","Very Remote Australia","1","11000","false",""
"Marnbi Aboriginal Corporation","43415692817","oric","false","indigenous_corp","Education","SA","Remote Australia","1","11000","false",""
"Ananguku Arts and Cultural Aboriginal Corporation","74115486517","oric","false","indigenous_corp","Health","SA","Major Cities of Australia","4","11000","false",""
"FIRST NATIONS ESTATE PTY LTD","85679020734","self_identified","true","company","Wine","ACT","Inner Regional Australia","7","11000","false",""
"Ikuntji Artists Aboriginal Corporation","61415976074","oric","true","indigenous_corp","Health","NT","Very Remote Australia","1","10720","false",""
"Scotdesco Aboriginal Corporation","44335892243","oric","true","indigenous_corp","Health","SA","Very Remote Australia","1","10385","false",""
"Pandanus Park Aboriginal Corporation","59007731707","oric","false","indigenous_corp","Community","WA","Very Remote Australia","1","10323","false",""
"Kuuku Ya'u Aboriginal Corporation RNTBC","22624587397","oric","false","indigenous_corp","land-management","QLD","Very Remote Australia","1","10315","false",""
"Guildford Indigenous Educational Scholarship Trust","27748681203","self_identified","false","foundation","education","WA","Major Cities of Australia","8","10256","false",""
"Mer Gedkem Le (Torres Strait Islanders) Corporation RNTBC","53464590791","oric","false","indigenous_corp","land-management","QLD","Very Remote Australia","1","10218","false",""
"The Trustee for Queensland Signage Solutions Unit Trust","29954056571","acnc_indigenous","true","social_enterprise","Engraving","QLD","Outer Regional Australia","3","10054","false",""
"Keringke Arts Aboriginal Corporation","17407028573","oric","false","indigenous_corp","culture","NT","Very Remote Australia","1","10000","false",""
"NGULUWAY DI SYDNEY PTY LIMITED","54645917531","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","4","10000","false",""
"Gudjuda Reference Group Aboriginal Corporation","65884273677","oric","false","indigenous_corp","Arts & Culture","QLD","Outer Regional Australia","3","10000","false",""
"Northern Aboriginal & Torres Strait Islander Health Alliance Limited","34105878706","self_identified","false","foundation","health","QLD","Outer Regional Australia","3","9972","false",""
"The Gospel of Grace Indigenous Teaching Foundation","59248014767","self_identified","false","foundation","education","","Major Cities of Australia","3","8650","false",""
"The Trustee For Aboriginal Women's Legal Education Trust","12695918545","self_identified","false","foundation","education","WA","Major Cities of Australia","8","7996","false",""
"Bethaburra Indigenous Community Development Aid Incorporated","78922921368","self_identified","false","charity","Community","NSW","Major Cities of Australia","7","6700","false",""
"Central Australian Aboriginal Women's Choir Incorporated","62975502404","self_identified","false","charity","Indigenous","NT","Remote Australia","5","6534","false",""
"The Indigenous Community Development Fund","31517581977","self_identified","false","charity","Indigenous","NSW","Major Cities of Australia","8","6110","false",""
"CHRISTIAN MISSION AND MINISTRIES FOR INDIGENOUS AUSTRALIANS INCORPORATED","24276373995","self_identified","false","charity","Religion","NSW","Major Cities of Australia","9","5980","false",""
"Malgana Aboriginal Corporation RNTBC","14496220959","oric","false","indigenous_corp","Environment","WA","Major Cities of Australia","8","5693","false",""
"Pilbara Aboriginal Corporation of Traditional Owners","56204200952","oric","false","indigenous_corp","Social Welfare","WA","Very Remote Australia","10","5000","false",""
"Cherbourg Men's Shed Indigenous Corporation","68439899547","oric","false","indigenous_corp","Arts & Culture","QLD","Inner Regional Australia","1","4881","false",""
"Indigenous Hope Foundation Ltd","87614878527","self_identified","false","foundation","community","","Major Cities of Australia","10","4603","false",""
"Australian Indigenous Alpine Sport Foundation Incorporated","36296387913","self_identified","false","foundation","education","NSW","Major Cities of Australia","10","4485","false",""
"Australian Aboriginal Outreach Ministries Incorporated","30036548925","self_identified","false","charity","Religion","","Major Cities of Australia","8","3936","false",""
"ABORIGINAL CHRISTAIN CHURCH TEACHING CENTRE OF W.A. INC.","56273504293","self_identified","false","charity","Religion","WA","Major Cities of Australia","5","3659","false",""
"Aboriginal Catholic Ministry & Council","92110379300","self_identified","false","charity","Religion","WA","Major Cities of Australia","8","3540","false",""
"Jabani Jinna Indigenous Corporation","88214290661","oric","false","indigenous_corp","Indigenous","QLD","Major Cities of Australia","1","2923","false",""
"Armidale Aboriginal Health Services Incorporated","91264296813","self_identified","false","charity","Health","NSW","Outer Regional Australia","5","2605","false",""
"Goldfields Aboriginal Language Centre Aboriginal Corporation","22142285323","oric","false","indigenous_corp","Arts & Culture","WA","Very Remote Australia","2","2410","false",""
"The Canberra Burley Griffin Rotary Club Indigenous Projects Trust - Public Fund (Environment)","94489383736","self_identified","false","foundation","environment","ACT","Major Cities of Australia","10","2088","false",""
"The Trustee For The Yvonne Cohen Awards For Creative Australian Indigenous People","76939039846","self_identified","false","charity","Education","VIC","Major Cities of Australia","3","1419","false",""
"Pitjantjatjara Bible Translation Project - Godaku Tjukurpa Tjunkupai I","12137866906","self_identified","false","charity","Human Rights","SA","Very Remote Australia","1","1312","false",""
"Aboriginal Care Australia","67163721699","self_identified","false","charity","Social Welfare","QLD","Major Cities of Australia","7","995","false",""
"THE CANBERRA BURLEY GRIFFIN INDIGENOUS PROJECTS TRUST","80717493481","self_identified","false","foundation","education","ACT","Major Cities of Australia","10","815","false",""
"Kaarta-Moorda Aboriginal Corporation","43746515151","oric","false","indigenous_corp","Education","WA","Major Cities of Australia","8","650","false",""
"INDIGENOUS PATHWAYS AUSTRALIA LTD","35645120378","self_identified","false","charity","Education","NSW","Major Cities of Australia","6","500","false",""
"Inter Indigenous Inc","77164841953","self_identified","false","charity","Education","WA","Very Remote Australia","5","151","false",""
"Aboriginal Advancement Council of Western Australia Aboriginal Corporation","20947041051","self_identified","false","indigenous_corp","Community","WA","Major Cities of Australia","8","102","false",""
"Aboriginal Foundation Of South Australia Incorporated","91765078109","self_identified","false","foundation","indigenous","SA","Major Cities of Australia","4","74","false",""
"Queensland Indigenous Languages Advisory Committee Incorporated","14650692657","self_identified","false","charity","Indigenous","QLD","Major Cities of Australia","6","45","false",""
"Goori Jones Mob Aboriginal Corporation","94780307980","oric","false","indigenous_corp","Health","QLD","Remote Australia","4","20","false",""
"Lakes Entrance Aboriginal Health Association Inc","12169986182","self_identified","false","charity","Health","","Outer Regional Australia","2","0","false",""
"Aboriginal Evangelical Church Eden","12811956051","self_identified","false","charity","Religion","NSW","Outer Regional Australia","2","0","false",""
"Queensland Youth Connections Indigenous Corporation","13764209865","oric","false","indigenous_corp","Indigenous","QLD","Outer Regional Australia","5","0","false",""
"Whadjuk Aboriginal Corporation","14190329120","oric","false","indigenous_corp","Social Welfare","WA","Major Cities of Australia","8","0","false",""
"Aboriginal Funeral Foundation of WA Indigenous Corporation","15285426251","self_identified","false","foundation","arts","WA","Major Cities of Australia","8","0","false",""
"Aboriginal Housing Foundation","15953704045","self_identified","false","foundation","community","WA","Major Cities of Australia","5","0","false",""
"Sydney Anglican Indigenous Peoples' Ministry Trust Fund","16931970702","self_identified","false","foundation","","NSW","Major Cities of Australia","4","0","false",""
"Yellamundie Aboriginal and Torres Strait Islander Corporation","17611834460","oric","false","indigenous_corp","Arts & Culture","NSW","Inner Regional Australia","7","0","false",""
"Muurrpa-Pungka Pre-School Aboriginal Corporation","19334678739","oric","false","indigenous_corp","Community","","Very Remote Australia","1","0","false",""
"Centre for Indigenous Technology - Information and Education Solutions Inc","25563832319","self_identified","false","charity","Arts & Culture","NSW","Major Cities of Australia","9","0","false",""
"Wurngomgu Aboriginal Corporation","27131440919","self_identified","false","charity","Social Welfare","NT","Remote Australia","5","0","false",""
"The Trustee For Kooringal Gospel Trust","29154714130","self_identified","false","foundation","","","Outer Regional Australia","5","0","false",""
"Irvinebank - Mbabaram Aboriginal Corporation","30769561709","self_identified","false","indigenous_corp","Education","QLD","Major Cities of Australia","5","0","false",""
"Wagyl Kaip Southern Noongar Aboriginal Corporation","31266367654","oric","false","indigenous_corp","Social Welfare","WA","Outer Regional Australia","5","0","false",""
"Kimberley Aboriginal Medical Services Council (Inc)","31892339645","self_identified","false","charity","Health","WA","Very Remote Australia","3","0","false",""
"WRIGHT ABORIGINAL CULTURAL COMMUNITY CARE SERVICES LTD","32660154343","self_identified","false","charity","Social Welfare","NSW","Major Cities of Australia","6","0","false",""
"Ballardong Aboriginal Corporation","38206793433","oric","false","indigenous_corp","Social Welfare","WA","Outer Regional Australia","2","0","false",""
"Gumbaingarr Traditional Owners Aboriginal Corporation","42605081569","oric","false","indigenous_corp","Arts & Culture","NSW","Outer Regional Australia","5","0","false",""
"Uca-Torres Strait Parish","43414519877","self_identified","false","charity","Religion","QLD","Very Remote Australia","1","0","false",""
"Kokatha People Native Title Compensation Pty Ltd","46608668462","self_identified","false","charity","Community","SA","Remote Australia","1","0","false",""
"Aboriginal Sea Company Asset Holding Trust","47628012520","self_identified","false","foundation","community","NT","Outer Regional Australia","","0","false",""
"Values-Oriented Indigenous Centre of Excellence (V.O.I.C.E.) Limited","48605587657","self_identified","false","charity","Health","QLD","Major Cities of Australia","3","0","false",""
"I-CONNEXIONS LTD","50654886718","acnc_indigenous","true","charity","Social Welfare","NSW","Major Cities of Australia","7","0","false",""
"INDIGENOUS NATION BUILDING FUND PTY LTD","53662300996","self_identified","false","charity","Education","QLD","Outer Regional Australia","6","0","false",""
"NOONGAR BOODJA LAND SUB PTY LTD","55649102876","self_identified","false","charity","Social Welfare","NSW","Major Cities of Australia","4","0","false",""
"SWISH: Safe Water for Indigenous Sustainable Homelands","55764077559","self_identified","false","charity","Health","VIC","Major Cities of Australia","8","0","false",""
"U Ken Do It Indigenous Corporation","56238818964","oric","false","indigenous_corp","Education","WA","Major Cities of Australia","5","0","false",""
"NULLA NULLA LOCAL ABORIGINAL LAND COUNCIL","56816041046","self_identified","false","charity","Arts & Culture","NSW","Very Remote Australia","3","0","false",""
"THE SHARA CLARKE ABORIGINAL CULTURE AND EDUCATION CENTRE LIMITED","64654821959","self_identified","false","charity","Arts & Culture","","Inner Regional Australia","6","0","false",""
"St Martin de Porres Catholic Aboriginal Community","64696690941","self_identified","false","charity","Religion","NT","Outer Regional Australia","7","0","false",""
"Tara Anglican School For Girls Public Indigenous Scholarship Fund","65897481770","self_identified","false","charity","Education","NSW","Major Cities of Australia","7","0","false",""
"Catholic Aboriginal Ministry Melbourne","68374296945","self_identified","false","charity","Religion","VIC","Major Cities of Australia","8","0","false",""
"Wallaby Indigenous Corporation","69762021065","oric","false","indigenous_corp","Arts & Culture","NSW","Outer Regional Australia","5","0","false",""
"Western Region Indigenous Leaders Discipleship Initiative Incorporated","70893879922","self_identified","false","charity","Religion","NSW","Very Remote Australia","1","0","false",""
"Training Aboriginal Christian Leaders Sa Inc","70941121584","self_identified","false","charity","Religion","","Major Cities of Australia","7","0","false",""
"Kokatha Mula Nations Land Council Inc Assoc","73102282157","self_identified","false","charity","Education","SA","Remote Australia","1","0","false",""
"Back to the Bush Indigenous Corporation","74610603429","self_identified","false","charity","Environment","QLD","Outer Regional Australia","3","0","false",""
"Australian Indigenous Aviation Foundation Limited","76616888914","self_identified","false","foundation","education","NSW","Major Cities of Australia","9","0","false",""
"Aboriginal and Islander Independent Community School Building Fund","76967095859","self_identified","false","charity","Education","QLD","Major Cities of Australia","3","0","false",""
"Trustees Of The Roman Catholic Church For The Diocese Of Wagga Wagga As Trustee For The Catholic Parish Of Sacred Heart Kooringal Wagga Wagga","77018838114","self_identified","false","charity","Religion","NSW","Outer Regional Australia","5","0","false",""
"FIRST NATIONS BAILAI, GURANG, GOORENG GOORENG, TARIBELANG BUNDA PEOPLE DEVELOPMENT CORPORATION LTD","80652161905","self_identified","false","charity","Arts & Culture","QLD","Inner Regional Australia","2","0","false",""
"Queensland Indigenous Working Group Limited","81114579985","self_identified","false","charity","","","Major Cities of Australia","7","0","false",""
"Walhallow Local Aboriginal Land Council","81655409928","self_identified","false","charity","","","Outer Regional Australia","2","0","false",""
"Bibra Aboriginal Corporation","83402615309","oric","false","indigenous_corp","Health","WA","Major Cities of Australia","10","0","false",""
"NATIONAL INDIGENOUS NETWORK INITIATIVE LTD","84665314714","self_identified","false","charity","Indigenous","SA","Major Cities of Australia","7","0","false",""
"Shoalhaven Aboriginal Community Church","86417765859","self_identified","false","charity","Religion","NSW","Inner Regional Australia","2","0","false",""
"Beyond the Pale Indigenous Corporation","89376950238","oric","false","indigenous_corp","Health","QLD","Inner Regional Australia","8","0","false",""
"Sacred Sites Preservation Project Aboriginal and Torres Strait Islander Corporation","92687929269","oric","false","indigenous_corp","Arts & Culture","QLD","Outer Regional Australia","3","0","false",""
"Trustees Of The Roman Catholic Church Diocese Of Lismore As Trustee For Aboriginal Catholic Ministry Diocese Of Lismore","95006734294","self_identified","false","charity","Religion","","Inner Regional Australia","4","0","false",""
"Fitzroy Crossing Aboriginal Outreach","96398101459","self_identified","false","charity","Religion","WA","Very Remote Australia","1","0","false",""
"South East Aboriginal Health Service Limited","98151158771","self_identified","false","charity","Health","","Very Remote Australia","5","0","false",""
"La Djardarr Bay Aboriginal Corporation","","self_identified","false","social_enterprise","Indigenous","WA","Very Remote Australia","3","","false",""
"Palyku Aboriginal Corporation","11015788626","oric","false","indigenous_corp","Education","WA","Major Cities of Australia","8","","false",""
"Sheryl Sandy Consultancy","11030273241","acnc_indigenous","true","social_enterprise","Indigenous & Aboriginal support services & programs","ACT","Major Cities of Australia","9","","false",""
"Koolyangarra Aboriginal Corporation","11050524742","oric","false","indigenous_corp","Indigenous","","","","","false",""
"Western Aranda Health Aboriginal Corporation","11067361505","oric","false","indigenous_corp","Health","NT","Very Remote Australia","1","","false",""
"Koongie Elvira Aboriginal Corporation","11068446688","oric","false","indigenous_corp","culture","WA","Very Remote Australia","1","","false",""
"Collie Aboriginal Corporation","11076755069","oric","false","indigenous_corp","Indigenous","WA","","","","false",""
"Contract Roof Plumbing PTY LTD","11088416639","acnc_indigenous","true","social_enterprise","Construction","QLD","Major Cities of Australia","6","","false",""
"AW & L Consultants Pty Ltd","11116872738","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","6","","false",""
"Biripi Aboriginal Corporation Medical Centre","11142285716","oric","false","indigenous_corp","Health","NSW","Inner Regional Australia","2","","false",""
"BPH (WA) PTY LTD","11155668072","acnc_indigenous","true","social_enterprise","Civil construction","WA","Outer Regional Australia","7","","false",""
"LEWIS AUTO HIRE","11159638767","","false","social_enterprise","","ACT","Very Remote Australia","5","","false",""
"R&D ROOFING & CONSTRUCTION (NSW/ACT) PTY LTD","11163325353","acnc_indigenous","true","social_enterprise","Painting supplies & services","ACT","Major Cities of Australia","8","","false",""
"Milyuranpa Banjyma Aboriginal Corporation","11165493615","oric","false","indigenous_corp","Community","WA","Very Remote Australia","5","","false",""
