name,abn,donated,donation_count,parties,contract_value,contract_count,contract_per_donation_dollar,sector,state,is_community_controlled
"AEC","42115063267","9564232","6","Australian Greens; Pauline Hanson's One Nation; The Greens NSW","70000","1","0","","QLD","false"
"5G NETWORKS LTD","21073716793","9013111","137","Australia Labor Party (ALP); Australian Labor Party - National Secretariat; Australian Labor Party - State of Queensland; Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (NSW Branch); Australian Labor Party (TAS Branch); Australian Labor Party (VIC Branch); John Curtin House Limited; Liberal Party of Australia; Liberal Party of Australia - Federal Secretariat; Liberal Party of Australia - NATIONAL; Liberal Party of Australia (LIB); Liberal Party of Australia (NSW Division); Liberal Party of Australia (QLD Division); Liberal Party of Australia (SA Division); Liberal Party of Australia (TAS Division); Liberal Party of Australia (VIC Division); Liberal Party of Australia (WA Division) Inc; Media Entertainment & Arts Alliance; National Party of Australia; National Party of Australia - NATIONAL; National Party of Australia - National Secretariat; Shop, Distributive & Allied Employees' Association - National; The Menzies Research Centre Limited","38524","1","0","","VIC","false"
"FAL Group Pty Ltd T/as FAL Commercial","87123013187","8983630","18","Shop Distributive and Allied Employees Association (QLD Branch)","26710","1","0","","QLD","false"
"Vero insurance","48005297807","8827343","511","AEU NSW Teachers Federation; ALP Australian Labor Party (ALP); ALP Progressive Business Association; ALP-NSW Australian Labor Party (NSW Branch); ALP-VIC Progressive Business Association; Australian Education Union; Australian Labor Party - 2012 State Conference Business Observers/ALP-FED; Australian Labor Party (ACT Branch); Australian Labor Party (ALP); Australian Labor Party (ALP) - ALP; Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (South Australian Branch) - SA; Australian Labor Party (State of Queensland); Australian Labor Party (State of Queensland) - QLD; Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Victorian Branch) - ALP-VIC; Australian Labor Party (Western Australian Branch) - WA; Australian Labor Party ALP FED; Australian Labor Party/ALP FED; Automotive Food Metals Engineering Printing & Kindred Ind. Union; Canberra Labor Club Limited; CFMEU Construction & General Division VIC/TAS Branch; Construction, Forestry, Maritime Employees Union; Health & Community Services Union Vic No. 2 HSU; Health Services Union NSW; Health Services Union of Victoria No.1 Branch; LIB Liberal Party of Australia; LIB-NSW Liberal Party of Australia NSW Division; LIB-TAS Liberal Party of Australia - Tasmanian Division; LIB-VIC Liberal Party of Victoria (Victorian Division); LIB-WA Liberal Party (WA Divisin) Inc; Liberal Democratic Party (NSW Branch); Liberal National Party of Queensland; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc. - WA; Liberal Party of Australia; Liberal Party of Australia - ACT Division; Liberal Party of Australia - LIB; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - Tasmania Division - LIB-TAS; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (Victorian Division); Liberal Party of Australia (Victorian Division) - LIB-VIC; Liberal Party of Australia (Victorian Division) - VIC; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; Liberal Party of Australia/LIB FED; Liberal Party of Australia/LIB-FED; Liberal Party of Australia/LIB-TAS; Liberal Party of Australia/LIB-VIC; Liberal Party of NSW; Millenium Forum Sponsor Business - Liberal Party of Australia - NSW; NAT National Party of Australia; National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia - N.S.W. - NSW; National Party of Australia - NAT; National Party of Australia - NATIONAL; National Party of Australia - Victoria; National Party of Australia - Victoria - NAT-VIC; National Party of Australia NSW Leaders Forum; New South Wales Nurses and Midwives' Association; Queensland Nurses Union of Employees; The Greens NSW; The Menzies Research Centre Limited; United Workers Union","625636000","2","71","Finance","QLD","false"
"MARTIN MORRIS & JONES PTY LTD","35000367699","8510958","8","Transport Workers Union of New South Wales","39103543","4","5","","NSW","false"
"Marsh Pty Ltd","86004651512","8335614","50","Canberra Labor Club Limited; CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch); CEPU Plumbing Division Victoria; Construction, Forestry, Maritime Employees Union; Liberal Party of Australia; The Menzies Research Centre Limited; United Workers Union; Vapold Pty Ltd","67507777","61","8","Finance","NSW","false"
"AUTOMATIC DATA PROCESSING LIMITED","70003924945","8256074","142","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union; The Australian Workers Union - Newcastle Central Coast & Northern Regions Branch; The Australian Workers' Union NSW Branch","11000","1","0","","VIC","false"
"Master Builders Association of New South Wales Pty Ltd","11074397532","8179106","12","Master Builders Australia Ltd; Menzies 200 Club","837990","1","0","Construction","NSW","false"
"Retailers Association of Queensland Ltd","44009664073","8040955","47","Australian Automobile Association; Australian Labor Party (ALP); Australian Labor Party (State of Queensland); Liberal Party of Australia; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Queensland Division - QLD; Liberal Party of Australia (QLD Division)","1206810","5","0","","QLD","false"
"BUNNINGS GROUP LIMITED","26008672179","7950570","38","Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch); Progressive Business Association Inc; Shop Distributive and Allied Employees Association (QLD Branch)","3148489","136","0","Mining","VIC","false"
"WOODSIDE ENERGY LIMITED","63005482986","7714150","232","Australian Democrats; Australian Labor Party (ALP); Australian Labor Party (South Australian Branch); Australian Labor Party (Western Australian Branch); Business Council of Australia; Cormack Foundation Pty Ltd; John McEwen House Pty Ltd; Labor Holdings Pty Ltd; Laneway Assets Pty Ltd as Trustee for the National Policy Forum Trust; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; National Party of Australia; National Party of Australia (WA) Inc; Perth Trades Hall Inc; The 500 Club Inc; The Chifley Research Centre Ltd; The Menzies Research Centre Limited","7260000","1","1","Mining","WA","false"
"Ikon Communications Pty Ltd","87087312918","7688494","22","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (State of Queensland)","1436640","8","0","","NSW","false"
"Royal Automobile Club of Queensland Limited","72009660575","7606018","4","Australian Automobile Association","3271803","8","0","Finance","QLD","false"
"Department of Justice & Community Safety","98636852025","7576992","70","Australian Greens, Australian Capital Territory Branch; Australian Labor Party (ACT Branch); Liberal Party of Australia - ACT Division","3352278","28","0","Community","ACT","false"
"A.K. BANTON & OTHERS","60886957423","7386820","8","Australasian Meat Industry Employees Union Victorian Branch; CFMEU Construction & General Division VIC/TAS Branch; Construction, Forestry, Maritime Employees Union","2923322","7","0","","WA","false"
"DEPARTMENT OF CLIMATE CHANGE","50182626845","7214458","2","Browning Family Investment Trust","19440931","6","3","Environment","ACT","false"
"SUTHERLAND FARRELLY P/L","30365737758","7149640","54","CFMEU Construction & General Division VIC/TAS Branch; Construction, Forestry, Maritime Employees Union","11033","1","0","","VIC","false"
"LENDLEASE CONSTRUCTION PTY LIMITED (97 000 098 162)","97000098162","7147352","74","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (State of Queensland); Australian Labor Party (Western Australian Branch); CFMEU Construction and General Division, New South Wales Divisional Branch; Construction, Forestry, Maritime Employees Union; Faircloth & Reynolds Pty Ltd; Liberal Party (W.A. Division) Inc. - WA; Liberal Party of Australia; Liberal Party of Australia (Victorian Division); National Party of Australia (Queensland); Transport Workers Union of New South Wales","3700509673","118","518","Finance","NSW","false"
"COMPUTERSHARE COMMUNICATION SERVICES PTY LIMITED (76 007 153 184)","76007153184","7142288","60","CEPU Plumbing Division Queensland Branch; Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division; Construction Forestry Mining & Energy, Industrial Union of Employees, Queensland - Construction and General Division; Construction, Forestry, Maritime Employees Union; Liberal Party of Australia - ACT Division; Liberal Party of Australia - Queensland Division; Liberal Party of Australia, NSW Division","58466678","49","8","Finance","VIC","false"
"Westfield Corporation","95000317279","7030290","171","ALP- Australian Labor Party; ALP-QLD - Australian Labor Party (State of Queensland); ALP-VIC - Australian Labor Party (Victorian Branch); ALP-WA - Australian Labor Party (Western Australian Branch); Australian Labor Party; Australian Labor Party - National Secretariat; Australian Labor Party - NSW; Australian Labor Party - NSW / ALP-NSW; Australian Labor Party - QLD / ALP-QLD; Australian Labor Party - VIC; Australian Labor Party - VIC / ALP-VIC; Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch); Australian Labor Party (Victorian Branch) ALP-VIC; Australian Labor Party (Western Australian Branch); Business Council of Australia; Federal Secretariat - LIB-FED; LIB - Liberal Party of Australia; LIB-VIC - Liberal Party of Australia (Victorian Division); LIB-WA - Liberal Party (W.A. Division) Inc.; Liberal Party of Australia; Liberal Party of Australia - Federal Secretariat; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - NSW; Liberal Party of Australia - NSW / LIB-NSW; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia - VIC; Liberal Party of Australia - VIC/LIB-VIC; Liberal Party of Australia (Victorian Division); Liberal Party of Australia (Victorian Division) LIB-VIC; Liberal Party of Australia LIB; Liberal Party of Australia, NSW Division; National Secretariat - ALP-FED; The Free Enterprise Foundation","1577986","1","0","Finance","NSW","false"
"MANHEIM PTY LTD (79 089 074 206)","79089074206","6929918","262","Automotive Food Metals Engineering Printing & Kindred Ind. Union; Shop Distributive and Allied Employees Association (QLD Branch); United Workers Union","481523","3","0","","VIC","false"
"MACQUARIE GROUP LIMITED","94122169279","6885929","806","ALP-FED; ALP-SA; ALP-VIC; Australian Education Union; Australian Labor Party (ACT Branch); Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Business Council of Australia; Higgins Foundation Ltd; LIB NAT-QLD; LIB-FED; LIB-NSW; LIB-SA; LIB-TAS; LIB-VIC; LIB-WA; Liberal National Party of Queensland; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc.; Liberal Party of Australia; Liberal Party of Australia - ACT Division; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia - NATIONAL; National Party of Australia (Queensland); NATS-FED; NATS-NSW; Progressive Business Association Inc; SA Progressive Business Incorporated; The Liberal Party of Western Australia Pty Ltd; Transport Workers Union of Australia SA/NT Branch","832920000","2","121","Finance","NSW","false"
"CPA VIC (Parliament of Victoria)","57505521939","6827636","26","Australian Labor Party (Victorian Branch); Constituent Management Services Pty Ltd; Parakeelia Pty Ltd","42218","2","0","","VIC","false"
"CBRE","65597280925","6602568","132","Parakeelia Pty Ltd; The Australian Workers' Union of Employees Queensland","52357576","2","8","","NSW","false"
"ARA SECURITY SERVICES PTY LIMITED","23063676415","6454870","34","Bayside Forum; Canberra Labor Club Limited; Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division; Electrical Trades Union of Australia - Victoria Branch; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; United Firefighters Union of Australia VIC","12805559","50","2","construction","NSW","false"
"NSW MINISTRY OF HEALTH","92697899630","6435856","10","New South Wales Nurses and Midwives' Association","17020190","15","3","Health","NSW","false"
"TELSTRA SECURE BILLING","64086174781","6309174","231","Australian Democrats; Australian Labor Party (ALP); Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Automotive Food Metals Engineering Printing & Kindred Ind. Union; Business Council of Australia; Cormack Foundation Pty Ltd; Laneway Assets Pty Ltd as Trustee for the National Policy Forum Trust; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia (Victorian Division); National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia (Queensland); National Party of Australia (WA) Inc; National Union of Workers - National Office; Progressive Business Association Inc; The Liberal Foundation Inc; The Shop, Distributive & Allied Employees' Association of Western Australia","808144879","727","128","Health","VIC","false"
"NSW BUSINESS CHAMBER","51602702796","6296950","16","Australian Chamber of Commerce and Industry; Australian Labor Party (N.S.W. Branch); Australian Labor Party (State of Queensland); Liberal Party of Australia, NSW Division","231106093","9","37","","NSW","false"
"Fieldforce Services Pty Ltd","77062371779","6260098","37","Australian Labor Party (State of Queensland); LET Australia Ltd; Liberal National Party of Queensland; Liberal Party of Australia, NSW Division; Mining and Energy Union","4041807","1","1","","VIC","false"
"READYTECH HOLDINGS LIMITED (25 632 137 216)","96001280315","6220614","7","Construction, Forestry, Maritime Employees Union; Country Liberal Party (NT); Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW","18891337","79","3","Technology","NSW","false"
"Wilson Parking Australia 1992 Pty Ltd","67052475911","5933450","117","Canberra Labor Club Limited; Faircloth & Reynolds Pty Ltd; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc. - WA","57489497","82","10","","WA","false"
"Meriton Apartments Pty Limited","75000644888","5819795","156","ALP QLD; Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (NSW Branch); Australian Labor Party (State of Queensland); Australian Labor Party (State of Queensland) - QLD; Australian Labor Party of Qld; Liberal National Party of Queensland; Liberal Party - Federal Heffernan; Liberal Party - Simcha Federal; Liberal Party of Australia; Liberal Party of Australia - NATIONAL; Liberal Party of Australia (NSW Division); Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; LNP QLD; National Party of Australia; National Party of Australia - National Secretariat; The Free Enterprise Foundation","549899","1","0","","NSW","false"
"THALES AUSTRALIA - ADI LIMITED","66008642751","5752483","143","Australian Chamber of Commerce and Industry; Australian Democrats - NATIONAL; Australian Democrats SA Division - SA; Australian Labor Party - National Secretariat; Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (NSW Branch); Australian Labor Party (South Australian Branch) - SA; Australian Labor Party (Victorian Branch) - VIC; Automotive Food Metals Engineering Printing & Kindred Ind. Union; Liberal Party of Australia; Liberal Party of Australia - Federal Secretariat; Liberal Party of Australia - NATIONAL; Liberal Party of Australia (NSW Division); Liberal Party of Australia (WA Division) Inc/LIB-WA; Liberal Party of Australia LIB-FED; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; The Menzies Research Centre Limited","9062958408","9620","1575","defence","NSW","false"
"LENDLEASE REAL ESTATE INVESTMENTS LIMITED (46 063 427 896)","46063427896","5710082","14","National Union of Workers - National Office","9599846","7","2","Finance","NSW","false"
"CUSHMAN & WAKEFIELD PTY LTD (77 074 196 991)","77074196991","5699300","71","Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (Northern Territory) Branch - NT; Automotive Food Metals Engineering Printing & Kindred Ind. Union; Country Liberal Party (NT); Gruber (Yass) Pty Limited; John Curtin House Limited; National Party of Australia (WA) Inc - WA; The Free Enterprise Foundation","5301305750","763","930","Finance","NSW","false"
"RANDSTAD PTY LTD","40100565473","5636460","152","HSU East","1731104","20","0","","NSW","false"
"ACTU","67175982800","5603397","136","Australian Education Union; Australian Labor Party -  ALP - FED; Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (State of Queensland); Australian Labor Party (State of Queensland) - QLD; Australian Labor Party (Victorian Branch); Australian Nursing & Midwifery Federation; Australian Services Union of NSW & ACT (Services) Branch; Australian Workers Union - National Office; Australian Workers Union WA Branch; Automotive Food Metals Engineering Printing & Kindred Ind. Union; CFMEU Manufacturing Division; Community and Public Sector Union (PSU Group); Construction, Forestry, Maritime Employees Union; Electrical Trades Union of Australia NSW Branch; Health Services Union NSW; National Union of Workers - National Office; Shop, Distributive & Allied Employees' Association - National; The Australian Workers' Union of Employees Queensland; The Chifley Research Centre Ltd; United Workers Union","56663","3","0","","VIC","false"
"PENRITH CITY COUNCIL","43794422563","5596444","312","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","10120000","2","2","Disability Services","NSW","false"
"ERNST & YOUNG TRANS ADVISORY SERVICES LTD","87003599844","5579824","677","500 Club of New South Wales Inc; ALP Progressive Business (SA); ALP Progressive Business (VIC); Australian Labor Party - (NSW); Australian Labor Party (ACT Branch); Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (NSW Branch); Australian Labor Party (NSW); Australian Labor Party (South Australian Branch); Australian Labor Party (South Australian Branch) - SA; Australian Labor Party (State of Queensland); Australian Labor Party (State of Queensland) - QLD; Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victoria Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Business Council of Australia; Casey Business Briefing Club; CFMEU Construction and General Division, New South Wales Divisional Branch; Country Labor Party; Liberal National Party of Queensland; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc.; Liberal Party NSW; Liberal Party of Australia; Liberal Party of Australia - ACT Division; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Queensland Division - QLD; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia (ACT Division); Liberal Party of Australia (NSW Division - Manly SEC); Liberal Party of Australia (NSW Division - Wollondilly SEC); Liberal Party of Australia (NSW Division); Liberal Party of Australia (QLD Division); Liberal Party of Australia (S.A. Division); Liberal Party of Australia (S.A. Division) - SA; Liberal Party of Australia (SA Division); Liberal Party of Australia (VIC Division); Liberal Party of Australia (VIC Division) Entreprise 500; Liberal Party of Australia (VIC Division) Menzies Reserach Cen; Liberal Party of Australia (Victorian Division); Liberal Party of Australia (WA Division); LIberal Party of Australia (WA); Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; Liberal Party of Victoria; Liberal Party of WA; Media Entertainment & Arts Alliance; Millenium Forum; Minerals Council of Australia; National Party of Australia; National Party of Australia - N.S.W.; Northern Territory Country Liberal Party - NATIONAL; Progressive Business Association (ALP VIC); Progressive Business Association Inc; The 500 Club (VIC); The 500 Club (WA); The 500 Club Inc; The Brisbane's Future Committee; The Menzies Research Centre Limited","263968","2","0","","",""
"MINERALS COUNCIL OF AUSTRALIA","21191309229","5552672","426","ALP- NT; ALP-FED; ALP-NAT; ALP-NSW; ALP-NT; ALP-VIC; ALP-WA; Australian Business Network (LIB-FED); Australian Democrats; Australian Labor Party (ALP); Australian Labor Party (Western Australian Branch); CLP-NT; Country Liberal Party (NT); Enterprise Victoria (LIB-VIC); Federal Labor Business Exchange (ALP-FED); Federal Labor Business Forum (ALP-NAT); Hunter Federal Campaign Account (ALP - FED); Jacqui Lambie Network; JLN-TAS; John McEwen House Pty Ltd (NAT-FED); Laneway Assets Pty Ltd; Laneway Assets Pty Ltd as Trustee for the National Policy Forum Trust; LIB - TAS; LIB - VIC; LIB - WA; LIB-ACT; LIB-FED; LIB-NSW; LIB-SA; LIB-TAS; LIB-VIC; LIB-WA; Liberal National Party of Queensland; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc.; Liberal Party NSW (LIB-NSW); Liberal Party of Australia; Liberal Party of Australia - ACT Division; Liberal Party of Australia – ACT Division; Liberal Party of Australia (LIB-FED); Liberal Party of Australia (S.A. Division); Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW DIvision; LNP-FED; LNP-QLD; LP-ACT; LP-FED; LP-NSW; LP-TAS; LP-VIC; LP-WA; NAT - FED; NAT-FED; National Party of Australia; National Party of Australia (NAT-FED); National Party of Victoria (NAT-VIC); NP-VIC; ON-QLD; Platinum Circle (LNP-QLD); Progressive Business Association (ALP-VIC); The Platinum Circle (LNP-QLD)","67353","5","0","","ACT","false"
"Canterbury-Bankstown Council","45985891846","5492662","192","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","40091","4","0","","NSW","false"
"DEPARTMENT FOR EDUCATION AND CHILD","60168401578","5428726","2","Australian Nursing & Midwifery Federation (SA Branch) (State Body)","30469357","11","6","Education","SA","false"
"ROYAL AUTOMOBILE ASSOCIATION OF SOUTH AUSTRALIA INC","90020001807","5403098","10","Australian Automobile Association","24014","1","0","Finance","SA","false"
"ASSETT GROUP SERVICES PTY LTD (18 123 602 531)","18123602531","5315378","38","Shop Distributive & Allied Employees' Association NSW Branch","345000000","1","65","","NSW","false"
"CONCIERGE CONTACTS PTY. LTD. (53 149 081 756)","53149081756","5311816","4","Construction, Forestry, Maritime Employees Union; Textile Clothing and Footwear Union of Aust - NSW, TAS, SA Br","1450435","3","0","","NSW","false"
"PRICEWATERHOUSECOOPERS","26563812149","5288001","1108","ALP-NSW; ALP-VIC; Aust Building Const Employees & Builders Labour Fed (QLD Br); Australian Labor Party - ACT Branch; Australian Labor Party - NSW Branch; Australian Labor Party - QLD Branch; Australian Labor Party - SA Branch; Australian Labor Party - VIC Branch; Australian Labor Party - WA Branch; Australian Labor Party (ACT Branch); Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (South Australian Branch) - SA; Australian Labor Party (State of Queensland); Australian Labor Party (State of Queensland) - QLD; Australian Labor Party (Victorian Branch); Australian Labor Party (Victorian Branch) - VIC; Australian Labor Party (Western Australian Branch); Australian Labor Party (Western Australian Branch) - WA; Australian Labor Party ACT; Australian Labor Party ALP-FED; Australian Labor Party ALP-NSW; Australian Labor Party ALP-QLD; Australian Labor Party ALP-VIC; Australian Labor Party NSW; Australian Labor Party VIC; Country Labor Party; Higgins 200 Club; Liberal National Party LNP-QLD; Liberal National Party of Queensland; Liberal National Party QLD; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc.; Liberal Party (W.A. Division) Inc. - WA; Liberal Party of Australia; Liberal Party of Australia  - VIC Branch; Liberal Party of Australia  - WA Branch; Liberal Party of Australia - ACT Division; Liberal Party of Australia - ACT Division - ACT; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - NSW Branch; Liberal Party of Australia - QLD Branch; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Queensland Division - QLD; Liberal Party of Australia - SA Branch; Liberal Party of Australia - VIC Branch; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (S.A. Division) - SA; Liberal Party of Australia (Victorian Division); Liberal Party of Australia (Victorian Division) - VIC; Liberal Party of Australia ACT; Liberal Party of Australia LIB-ACT; Liberal Party of Australia LIB-FED; Liberal Party of Australia LIB-NSW; Liberal Party of Australia LIB-QLD; Liberal Party of Australia LIB-SA; Liberal Party of Australia LIB-VIC; Liberal Party of Australia LIB-WA; Liberal Party of Australia LNP-QLD; Liberal Party of Australia NSW; Liberal Party of Australia SA; Liberal Party of Australia VIC; Liberal Party of Australia VIC Branch; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; Murray 250 Club; National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia - VIC Branch; Progressive Business; Progressive Business Association; Progressive Business Association - SA Branch; Progressive Business Association - VIC Branch; Progressive Business Association ALP-SA; Progressive Business Association ALP-VIC; Progressive Business Association Inc; SA Progressive Business ALP-SA; SA Progressive Business Incorporated; The 500 Club (VIC); The Liberal Party of Western Australia Pty Ltd; Universities Australia","381370","2","0","","NSW","false"
"JJ Richards & Sons Pty Ltd","40000805425","4952572","305","Australian Conservatives (Qld); Australian Labor Party (State of Queensland); Australian Liberty Alliance; John McEwen House Pty Ltd; Liberal Democratic Party (QLD Branch); Liberal National Party of Queensland; Liberal National Party Qld/LNP-QLD; Liberal Party of Australia; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Queensland Division - QLD; LNP; LNP - Bowman; LNP - FDC; LNP Ashgrove Sec/LNP-QLD; LNP Bowman FDC; LNP Bowman Federal Divisional/LNP-QLD; LNP Fairfax DC; LNP Maranora Divisional Council/LNP-QLD; LNP Mermaid Beach; LNP Toowoomba North; LNP Wide Bay FDC; LNP-Fairfax FDC/LNP-QLD; LNP/LNP-QLD; National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia (Queensland); National Party of Australia (Queensland) - QLD; Queensland Research Pty Ltd; Yellow Vest Australia","14937020","36","3","","QLD","false"
"LJ Hooker Commercial","61903059244","4941376","94","Health Services Union NSW; Liberal Party of Australia - ACT Division","541331","2","0","","SA","false"
"DEPARTMENT FOR MANUFACTURING,","83524915929","4913208","2","Australian Nursing & Midwifery Federation (SA Branch) (State Body)","31316087","15","6","","SA","false"
"Dept of Innovation Industry Science Research and Tertiary Education","74599608295","4843688","14","Australian Council of Trade Unions; CFMEU Construction & General Division - VIC Branch; Master Builders Australia Ltd","222008659","255","46","Education","ACT","false"
"Department of Jobs, Precincts and Regions","83295188244","4792132","16","Australasian Meat Industry Employees Union Victorian Branch; Australian Greens Victoria; Automotive Food Metals Engineering Printing & Kindred Ind. Union; Construction, Forestry, Maritime Employees Union; Minerals Council of Australia; The Australian Workers' Union Victorian Branch","83233673","47","17","","VIC","false"
"KPMG","51194660183","4767074","160","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (State of Queensland); Business Council of Australia; Casey Business Briefing Club; Liberal National Party of Queensland; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; Liberal Party of Australia - Queensland Division; Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; Minerals Council of Australia; Progressive Business Association Inc; The 500 Club (VIC)","2439433411","4033","512","","NSW","false"
"RAY WHITE","13512929840","4655306","84","Australian Labor Party (State of Queensland); Canberra Labor Club Limited; Labor Holdings Pty Ltd; Liberal Party (W.A. Division) Inc; Liberal Party of Australia - Queensland Division; Liberal Party of Australia (Victorian Division); Shop, Distributive and Allied Employees Association, South Australia","44000","1","0","","NSW","false"
"Chamber of Commerce and Industry of Western Australia Limited","96929977985","4637300","7","Australian Chamber of Commerce and Industry","12859278","7","3","Community","WA","false"
"MCGEES PROPERTY","98504916044","4374046","196","Automotive Food Metals Engineering Printing & Kindred Ind. Union; Labor Holdings Pty Ltd; National Union of Workers - National Office; United Workers Union","569130","1","0","","SA","false"
